date,Jair Bolsonaro,Cabo Daciolo,Vera Lúcia,João Goulart Filho,Eymael,isPartial
2017-12-31,2,0,0,0,0,False
2018-01-07,4,0,0,0,0,False
2018-01-14,2,0,0,0,0,False
2018-01-21,3,0,0,0,0,False
2018-01-28,3,0,0,0,0,False
2018-02-04,3,0,0,0,0,False
2018-02-11,3,0,0,0,0,False
2018-02-18,2,0,0,0,0,False
2018-02-25,2,0,0,0,0,False
2018-03-04,2,0,0,0,0,False
2018-03-11,3,0,0,0,0,False
2018-03-18,3,0,0,0,0,False
2018-03-25,3,0,0,0,0,False
2018-04-01,3,0,0,0,0,False
2018-04-08,5,0,0,0,0,False
2018-04-15,4,0,0,0,0,False
2018-04-22,4,0,0,0,0,False
2018-04-29,2,1,0,0,0,False
2018-05-06,2,0,0,0,0,False
2018-05-13,2,0,0,0,0,False
2018-05-20,3,0,0,0,0,False
2018-05-27,4,1,0,0,0,False
2018-06-03,3,0,0,0,0,False
2018-06-10,3,0,0,0,0,False
2018-06-17,2,0,0,0,0,False
2018-06-24,2,0,0,0,0,False
2018-07-01,2,0,0,0,0,False
2018-07-08,3,0,0,0,0,False
2018-07-15,3,0,0,0,0,False
2018-07-22,6,0,0,0,0,False
2018-07-29,15,0,0,0,0,False
2018-08-05,14,13,0,0,0,False
2018-08-12,13,9,0,0,0,False
2018-08-19,12,4,0,0,1,False
2018-08-26,30,3,0,0,1,False
2018-09-02,74,4,0,0,1,False
2018-09-09,58,6,0,1,1,False
2018-09-16,43,7,0,0,2,False
2018-09-23,43,18,0,0,2,False
2018-09-30,74,44,0,1,2,False
2018-10-07,95,23,0,0,2,False
2018-10-14,49,5,0,0,0,False
2018-10-21,46,3,0,0,1,False
2018-10-28,100,6,0,0,0,False
2018-11-04,28,2,0,0,0,False
2018-11-11,22,1,0,0,0,False
2018-11-18,18,1,0,0,0,False
2018-11-25,18,1,0,0,0,False
2018-12-02,19,1,0,0,0,False
2018-12-09,20,1,0,0,0,False
2018-12-16,18,1,0,0,0,False
2018-12-23,21,1,0,0,0,False
2018-12-30,61,1,0,0,0,False
