date,election_year,term,interest_raw,interest_scaled,geo,timeframe,source,batch_id,anchor_term,is_anchor,is_partial,collected_at
2017-12-31,2018,Jair Bolsonaro,2,2.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-01-07,2018,Jair Bolsonaro,4,4.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-01-14,2018,Jair Bolsonaro,2,2.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-01-21,2018,Jair Bolsonaro,3,3.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-01-28,2018,Jair Bolsonaro,3,3.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-02-04,2018,Jair Bolsonaro,3,3.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-02-11,2018,Jair Bolsonaro,3,3.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-02-18,2018,Jair Bolsonaro,2,2.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-02-25,2018,Jair Bolsonaro,2,2.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-03-04,2018,Jair Bolsonaro,2,2.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-03-11,2018,Jair Bolsonaro,3,3.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-03-18,2018,Jair Bolsonaro,3,3.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-03-25,2018,Jair Bolsonaro,3,3.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-04-01,2018,Jair Bolsonaro,3,3.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-04-08,2018,Jair Bolsonaro,5,5.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-04-15,2018,Jair Bolsonaro,4,4.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-04-22,2018,Jair Bolsonaro,4,4.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-04-29,2018,Jair Bolsonaro,2,2.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-05-06,2018,Jair Bolsonaro,2,2.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-05-13,2018,Jair Bolsonaro,2,2.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-05-20,2018,Jair Bolsonaro,3,3.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-05-27,2018,Jair Bolsonaro,4,4.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-06-03,2018,Jair Bolsonaro,3,3.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-06-10,2018,Jair Bolsonaro,3,3.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-06-17,2018,Jair Bolsonaro,2,2.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-06-24,2018,Jair Bolsonaro,2,2.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-07-01,2018,Jair Bolsonaro,2,2.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-07-08,2018,Jair Bolsonaro,3,3.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-07-15,2018,Jair Bolsonaro,3,3.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-07-22,2018,Jair Bolsonaro,6,6.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-07-29,2018,Jair Bolsonaro,15,15.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
2018-08-05,2018,Jair Bolsonaro,14,14.0,BR,2018-01-01 2018-12-31,google_trends,batch_01,Jair Bolsonaro,True,False,2026-06-18T18:37:07
